Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,66.125,66.125,screen dim,23.7921453
0,66.125,66.125,wifi running,0.88764084
0.0,8.037470999999641,8.037470999999641,core 0 cpu_idle start,0.11950111882799468
8.037470999999641,8.270523999999568,0.23305299999992712,core 0 cpu_idle,0.003465032003998917
8.270523999999568,8.284461999999621,0.013938000000052853,core 0 cpu_frequency,0.00548271858242079
8.284461999999621,25.644141000000673,17.35967900000105,core 0 cpu_idle,0.25810370737201566
25.644141000000673,25.644259000000602,0.00011799999992945231,core 0 cpu_frequency,4.641704637224902e-05
25.644259000000602,26.30815799999982,0.6638989999992191,core 0 cpu_idle,0.00987085033198839
26.30815799999982,26.3086149999981,0.00045699999827775173,core 0 cpu_frequency,0.00017976771292252814
26.3086149999981,40.00652999999875,13.697915000000648,core 0 cpu_idle,0.20366060022000965
40.00652999999875,40.006633999997575,0.00010399999882793054,core 0 cpu_frequency,4.090993873894913e-05
40.006633999997575,51.02410999999847,11.017476000000897,core 0 cpu_idle,0.16380783316801334
51.02410999999847,51.024231999999756,0.00012200000128359534,core 0 cpu_frequency,4.7990506104921216e-05
51.024231999999756,56.41445699999895,5.390224999999191,core 0 cpu_idle,0.08014186529998797
56.41445699999895,56.41455700000006,0.00010000000111176632,core 0 cpu_frequency,3.9336480437329735e-05
56.41455700000006,61.13792699999976,4.723369999999704,core 0 cpu_idle,0.0702270651599956
61.13792699999976,61.13803199999893,0.0001049999991664663,core 0 cpu_frequency,4.130330367211718e-05
61.13803199999893,61.435922999997274,0.29789099999834434,core 0 cpu_idle,0.004429043387975384
61.435922999997274,61.43605000000025,0.00012700000297627412,core 0 cpu_frequency,4.9957330770761465e-05
61.43605000000025,61.649867000000086,0.2138169999998354,core 0 cpu_idle,0.0031790311559975527
61.649867000000086,61.650008000000525,0.00014100000043981709,core 0 cpu_frequency,5.5464436973008555e-05
61.650008000000525,71.26399999999921,9.613991999998689,core 0 cpu_idle,0.14294083305598052
0.0,8.037850999997318,8.037850999997318,core 1 cpu_idle start,0.11950676866796013
8.037850999997318,8.270548999997118,0.23269799999980023,core 1 cpu_idle,0.00345975386399703
8.270548999997118,8.357324000000517,0.08677500000339933,core 1 cpu_frequency,0.03413423052133717
8.357324000000517,25.644161000000167,17.28683699999965,core 1 cpu_idle,0.2570206925159948
25.644161000000167,25.644231999998738,7.099999857018702e-05,core 1 cpu_frequency,2.79289002375619e-05
25.644231999998738,26.308186999998725,0.6639549999999872,core 1 cpu_idle,0.00987168293999981
26.308186999998725,26.308322999997472,0.0001359999987471383,core 1 cpu_frequency,5.3497612307168306e-05
26.308322999997472,40.00654500000019,13.698222000002716,core 1 cpu_idle,0.2036651646960404
40.00654500000019,40.00940300000002,0.0028579999998328276,core 1 cpu_frequency,0.00112423659833424
40.00940300000002,51.02412499999991,11.014721999999892,core 1 cpu_idle,0.1637668866959984
51.02412499999991,51.0254079999977,0.001282999997783918,core 1 cpu_frequency,0.0005046870375282713
51.0254079999977,56.41446999999971,5.3890620000020135,core 1 cpu_idle,0.08012457381602994
56.41446999999971,56.414543999999296,7.399999958579428e-05,core 1 cpu_frequency,2.9108995037066048e-05
56.414543999999296,61.137940000000526,4.72339600000123,core 1 cpu_idle,0.0702274517280183
61.137940000000526,61.142940999998245,0.005000999997719191,core 1 cpu_frequency,0.0019672173639028096
61.142940999998245,61.43593899999905,0.2929980000008072,core 1 cpu_idle,0.0043562942640120025
61.43593899999905,61.43601800000033,7.900000127847306e-05,core 1 cpu_frequency,3.10758197029063e-05
61.43601800000033,61.64988599999924,0.21386799999891082,core 1 cpu_idle,0.003179789423983806
61.64988599999924,61.65346599999975,0.0035800000005110633,core 1 cpu_frequency,0.001408245984201034
61.65346599999975,71.26399999999921,9.610533999999461,core 1 cpu_idle,0.142889419511992
0.0,8.039085000000341,8.039085000000341,core 2 cpu_idle start,0.11952511578000508
8.039085000000341,8.270559000000503,0.23147400000016205,core 2 cpu_idle,0.0034415554320024098
8.270559000000503,8.270727999999508,0.00016899999900488183,core 2 cpu_frequency,6.647865080855553e-05
8.270727999999508,25.644165999998222,17.373437999998714,core 2 cpu_idle,0.2583082761839809
25.644165999998222,25.644194000000425,2.800000220304355e-05,core 2 cpu_frequency,1.1014215266599784e-05
25.644194000000425,26.30819799999881,0.6640039999983856,core 2 cpu_idle,0.009872411471975998
26.30819799999881,26.309622999997373,0.0014249999985622708,core 2 cpu_frequency,0.0005605448394344479
26.309622999997373,40.00654999999824,13.69692700000087,core 2 cpu_idle,0.20364591063601295
40.00654999999824,40.00698399999965,0.00043400000140536577,core 2 cpu_frequency,0.00017072032375282142
40.00698399999965,51.02413299999898,11.017148999999336,core 2 cpu_idle,0.16380297133199012
51.02413299999898,51.02421899999899,8.600000001024455e-05,core 2 cpu_frequency,3.382937280402984e-05
51.02421899999899,56.414474999997765,5.390255999998772,core 2 cpu_idle,0.08014232620798174
56.414474999997765,56.43070699999953,0.01623200000176439,core 2 cpu_frequency,0.006385097434294049
56.43070699999953,61.13794499999858,4.707237999999052,core 2 cpu_idle,0.06998721458398591
61.13794499999858,61.14140000000043,0.0034550000018498395,core 2 cpu_frequency,0.0013590753847276616
