Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,66.253,66.253,screen dim,23.8382004168
0,66.253,66.253,wifi running,0.88935907104
0.0,8.24389400000291,8.24389400000291,core 0 cpu_idle start,0.12257021599204328
8.24389400000291,71.27000000000044,63.026105999997526,core 0 cpu_idle,0.9370721440079632
0.0,8.243658000003052,8.243658000003052,core 1 cpu_idle start,0.12256670714404538
8.243658000003052,71.27000000000044,63.026341999997385,core 1 cpu_idle,0.9370756528559612
0.0,8.242255000001023,8.242255000001023,core 2 cpu_idle start,0.12254584734001522
8.242255000001023,71.27000000000044,63.02774499999941,core 2 cpu_idle,0.9370965126599914
0.0,8.240245000000868,8.240245000000868,core 3 cpu_idle start,0.12251596266001293
8.240245000000868,71.27000000000044,63.02975499999957,core 3 cpu_idle,0.9371263973399936
0.0,9.168980000002193,9.168980000002193,core 4 cpu_idle start,0.13632439464003263
9.168980000002193,71.27000000000044,62.10101999999824,core 4 cpu_idle,0.9233179653599739
0.0,8.323059000002104,8.323059000002104,core 5 cpu_idle start,0.12374724121203129
8.323059000002104,71.27000000000044,62.94694099999833,core 5 cpu_idle,0.9358951187879753
0.0,8.240774000001693,8.240774000001693,core 6 cpu_idle start,0.12252382783202517
8.240774000001693,71.27000000000044,63.029225999998744,core 6 cpu_idle,0.9371185321679814
0.0,8.525839000001724,8.525839000001724,core 7 cpu_idle start,0.12676217425202566
8.525839000001724,71.27000000000044,62.74416099999871,core 7 cpu_idle,0.9328801857479809
